"lead_id","org_id","lead_source","campaign_id","lead_created_date","converted_flag","converted_member_id","conversion_date"
1,1586,"Conference Booth",310,2021-08-10 19:41:20,0,NA,NA
2,3849,"Paid Ads",29,2023-11-11 00:02:49,1,14147,2023-12-11 00:02:49
3,1945,"Referral",306,2020-09-29 03:05:17,0,NA,NA
4,3038,"Webinar",318,2020-12-27 20:42:29,0,NA,NA
5,2426,"Social Media",221,2020-08-01 11:28:02,0,NA,NA
6,3520,"Webinar",245,2023-12-23 04:40:31,0,NA,NA
7,1682,"Conference Booth",491,2018-10-02 04:31:19,0,NA,NA
8,3936,"Paid Ads",314,2019-08-02 09:42:35,1,27537,2019-10-27 09:42:35
9,3679,"Email Campaign",314,2021-05-21 20:49:08,0,NA,NA
10,4968,"Website",417,2018-01-05 21:47:01,0,NA,NA
11,2516,"Webinar",27,2017-02-13 17:24:35,0,NA,NA
12,4651,"Website",447,2023-12-21 10:24:32,1,12496,2024-03-17 10:24:32
13,3784,"Referral",106,2019-02-08 20:36:19,1,24854,2019-04-06 20:36:19
14,724,"Email Campaign",305,2020-07-29 17:25:45,0,NA,NA
15,4206,"Conference Booth",29,2019-01-29 15:34:39,0,NA,NA
16,4700,"Website",163,2017-11-14 19:04:51,0,NA,NA
17,2290,"Website",448,2023-01-14 03:11:31,0,NA,NA
18,3013,"Email Campaign",465,2022-11-03 21:13:54,0,NA,NA
19,3757,"Referral",31,2024-12-28 07:28:30,0,NA,NA
20,2177,"Website",60,2021-12-17 07:53:15,0,NA,NA
21,3726,"Paid Ads",565,2017-03-20 03:51:42,0,NA,NA
22,4582,"Paid Ads",540,2021-08-10 01:25:04,0,NA,NA
23,3474,"Paid Ads",456,2017-07-14 10:27:03,0,NA,NA
24,2613,"Social Media",81,2019-09-24 00:06:34,0,NA,NA
25,3273,"Website",581,2020-02-01 04:24:47,0,NA,NA
26,185,"Email Campaign",430,2020-02-28 03:58:42,1,4367,2020-04-19 03:58:42
27,2278,"Website",67,2024-06-17 10:47:10,0,NA,NA
28,4090,"Webinar",278,2023-02-28 16:32:38,0,NA,NA
29,448,"Email Campaign",296,2017-06-08 00:46:32,0,NA,NA
30,1310,"Paid Ads",416,2020-06-22 08:42:18,0,NA,NA
31,1786,"Email Campaign",37,2022-01-11 01:44:22,0,NA,NA
32,871,"Paid Ads",426,2017-03-12 22:41:55,0,NA,NA
