"org_id","org_name","org_type","org_size_band","state","created_date"
1,"Practice_1","Pediatrics","Solo","WA",2017-09-14 13:40:57
2,"Practice_2","Dermatology","2-5","FL",2020-06-21 06:54:52
3,"Practice_3","Orthopedics","6-20","CA",2016-04-02 14:47:06
4,"Practice_4","Physical Therapy","Solo","NY",2016-08-14 08:14:05
5,"Practice_5","Dental","6-20","TX",2017-12-17 05:51:46
6,"Practice_6","Dental","Solo","GA",2016-02-27 20:21:03
7,"Practice_7","Dental","6-20","AZ",2019-09-21 20:17:35
8,"Practice_8","Family Medicine","6-20","CO",2021-11-05 13:05:34
9,"Practice_9","Orthopedics","Solo","TX",2023-12-23 15:31:34
10,"Practice_10","Orthopedics","2-5","FL",2015-07-23 03:39:04
11,"Practice_11","Dental","Solo","GA",2022-11-02 10:12:22
12,"Practice_12","Dermatology","2-5","AZ",2016-04-21 12:06:42
13,"Practice_13","Family Medicine","2-5","FL",2019-08-10 12:01:50
14,"Practice_14","Dental","2-5","CO",2016-01-12 06:39:03
15,"Practice_15","Dental","Solo","NC",2019-09-23 08:17:04
16,"Practice_16","Dental","Solo","CA",2019-03-16 21:42:12
17,"Practice_17","Pediatrics","Solo","NC",2023-10-04 17:49:38
18,"Practice_18","Physical Therapy","Solo","AZ",2017-05-23 11:39:58
19,"Practice_19","Physical Therapy","2-5","NC",2024-11-15 19:07:32
20,"Practice_20","Pediatrics","6-20","AZ",2021-09-18 14:42:07
21,"Practice_21","Orthopedics","2-5","NY",2018-09-14 05:50:59
22,"Practice_22","Dental","2-5","NY",2020-07-15 18:40:04
23,"Practice_23","Pediatrics","20+","IL",2022-03-28 18:22:41
24,"Practice_24","Pediatrics","2-5","IL",2018-03-30 22:11:21
25,"Practice_25","Physical Therapy","6-20","NC",2020-01-14 10:25:11
26,"Practice_26","Family Medicine","2-5","WA",2015-01-20 08:00:11
27,"Practice_27","Dental","Solo","NC",2019-10-30 07:18:23
28,"Practice_28","Physical Therapy","Solo","NC",2024-12-16 13:17:41
29,"Practice_29","Physical Therapy","2-5","WA",2015-05-21 00:38:17
30,"Practice_30","Dental","Solo","CA",2017-08-03 04:29:54
31,"Practice_31","Orthopedics","Solo","GA",2018-09-02 20:53:46
32,"Practice_32","Dental","2-5","WA",2020-07-02 01:16:41
33,"Practice_33","Dental","2-5","AZ",2020-08-13 14:01:49
34,"Practice_34","Family Medicine","2-5","GA",2017-11-05 06:15:26
35,"Practice_35","Dermatology","Solo","CO",2016-10-26 11:18:13
36,"Practice_36","Family Medicine","Solo","CA",2015-02-04 15:06:32
37,"Practice_37","Pediatrics","2-5","CO",2021-10-18 22:27:23
38,"Practice_38","Dental","20+","IL",2022-09-16 00:40:12
39,"Practice_39","Orthopedics","2-5","TX",2020-01-01 05:47:26
40,"Practice_40","Physical Therapy","6-20","NY",2015-08-04 17:55:12
41,"Practice_41","Dental","6-20","CO",2024-05-22 08:46:52
42,"Practice_42","Physical Therapy","2-5","FL",2018-01-24 19:04:05
43,"Practice_43","Dental","Solo","NC",2017-02-08 04:16:41
44,"Practice_44","Family Medicine","2-5","AZ",2024-06-05 05:44:45
45,"Practice_45","Pediatrics","2-5","CO",2017-08-17 15:03:34
46,"Practice_46","Orthopedics","2-5","CO",2024-03-12 23:07:05
47,"Practice_47","Pediatrics","2-5","TX",2018-04-21 01:34:21
48,"Practice_48","Physical Therapy","2-5","IL",2023-12-16 07:32:49
49,"Practice_49","Physical Therapy","Solo","NC",2024-06-13 18:51:25
50,"Practice_50","Dental","2-5","NC",2018-07-12 14:48:36
51,"Practice_51","Dermatology","Solo","TX",2022-01-17 00:21:24
52,"Practice_52","Family Medicine","6-20","WA",2020-06-17 05:05:41
53,"Practice_53","Family Medicine","Solo","TX",2016-10-29 06:10:49
54,"Practice_54","Family Medicine","Solo","FL",2019-05-30 06:24:22
55,"Practice_55","Physical Therapy","2-5","GA",2020-04-22 02:27:57
56,"Practice_56","Family Medicine","2-5","FL",2017-02-16 19:58:40
57,"Practice_57","Dental","2-5","TX",2023-10-06 02:13:22
58,"Practice_58","Dental","Solo","NY",2020-12-26 22:30:26
59,"Practice_59","Dental","2-5","WA",2023-10-27 00:51:04
60,"Practice_60","Pediatrics","Solo","NY",2016-10-17 01:51:37
61,"Practice_61","Pediatrics","6-20","FL",2023-12-14 15:37:33
62,"Practice_62","Pediatrics","6-20","NC",2024-08-29 01:43:20
63,"Practice_63","Family Medicine","2-5","FL",2021-01-13 12:01:04
64,"Practice_64","Pediatrics","Solo","CA",2017-07-01 22:17:09
65,"Practice_65","Pediatrics","2-5","IL",2020-04-14 05:18:51
66,"Practice_66","Physical Therapy","Solo","AZ",2019-08-18 12:48:58
67,"Practice_67","Dental","2-5","CA",2019-08-26 08:07:09
68,"Practice_68","Family Medicine","Solo","TX",2018-04-06 18:20:25
69,"Practice_69","Dental","6-20","CO",2017-01-20 00:43:13
70,"Practice_70","Dermatology","Solo","NY",2016-05-05 21:08:52
71,"Practice_71","Family Medicine","2-5","GA",2018-07-15 14:05:12
72,"Practice_72","Dental","2-5","CA",2022-10-09 14:24:41
73,"Practice_73","Dental","2-5","WA",2018-10-14 05:37:32
74,"Practice_74","Family Medicine","Solo","NY",2022-01-24 00:34:01
75,"Practice_75","Orthopedics","20+","CA",2015-04-03 03:27:20
76,"Practice_76","Orthopedics","2-5","NC",2022-02-15 20:34:16
77,"Practice_77","Family Medicine","2-5","AZ",2023-10-22 01:46:37
78,"Practice_78","Dental","Solo","FL",2023-01-11 16:12:51
79,"Practice_79","Pediatrics","2-5","FL",2024-01-29 15:19:47
80,"Practice_80","Dental","2-5","CA",2016-04-20 18:03:28
81,"Practice_81","Family Medicine","Solo","TX",2019-12-08 23:32:38
82,"Practice_82","Orthopedics","Solo","WA",2021-06-14 13:54:44
83,"Practice_83","Pediatrics","6-20","TX",2017-08-17 08:45:49
84,"Practice_84","Dental","Solo","NY",2022-06-20 23:23:26
85,"Practice_85","Pediatrics","Solo","IL",2018-11-14 08:36:23
86,"Practice_86","Pediatrics","2-5","AZ",2017-02-02 02:39:52
87,"Practice_87","Orthopedics","6-20","AZ",2016-04-12 17:17:24
88,"Practice_88","Orthopedics","Solo","FL",2021-06-26 15:09:32
89,"Practice_89","Family Medicine","2-5","AZ",2021-08-16 17:46:08
90,"Practice_90","Physical Therapy","Solo","TX",2017-10-06 15:19:49
91,"Practice_91","Dental","Solo","WA",2023-06-17 05:13:17
92,"Practice_92","Orthopedics","Solo","WA",2024-11-14 18:50:37
93,"Practice_93","Family Medicine","6-20","FL",2019-04-27 08:48:24
94,"Practice_94","Physical Therapy","Solo","CA",2019-03-22 15:24:00
95,"Practice_95","Family Medicine","Solo","WA",2017-12-14 17:47:35
96,"Practice_96","Physical Therapy","2-5","TX",2017-10-15 12:45:41
97,"Practice_97","Physical Therapy","6-20","CO",2017-11-20 22:13:13
98,"Practice_98","Physical Therapy","Solo","CA",2017-03-23 10:40:59
99,"Practice_99","Dental","2-5","IL",2016-12-13 04:09:32
100,"Practice_100","Dental","Solo","GA",2021-10-11 19:59:02
101,"Practice_101","Dental","2-5","NC",2015-09-29 02:38:31
102,"Practice_102","Orthopedics","2-5","AZ",2017-12-08 19:31:56
103,"Practice_103","Pediatrics","2-5","AZ",2015-09-21 00:43:38
104,"Practice_104","Physical Therapy","Solo","CO",2021-10-17 04:34:57
105,"Practice_105","Family Medicine","Solo","CA",2022-09-25 21:14:50
106,"Practice_106","Dental","Solo","FL",2024-08-18 01:58:14
107,"Practice_107","Physical Therapy","Solo","TX",2021-08-18 02:49:35
108,"Practice_108","Family Medicine","Solo","CO",2018-10-16 03:05:03
109,"Practice_109","Dental","6-20","NC",2021-03-15 12:18:47
110,"Practice_110","Dental","20+","WA",2018-06-09 13:48:36
111,"Practice_111","Pediatrics","20+","FL",2022-06-19 12:23:07
112,"Practice_112","Dental","6-20","GA",2022-09-02 14:09:24
113,"Practice_113","Family Medicine","2-5","FL",2015-01-12 23:08:07
114,"Practice_114","Family Medicine","2-5","CO",2017-11-14 10:10:57
115,"Practice_115","Orthopedics","Solo","IL",2022-07-20 14:44:32
116,"Practice_116","Family Medicine","2-5","CO",2016-01-03 21:36:46
117,"Practice_117","Family Medicine","2-5","CO",2024-07-22 01:23:20
118,"Practice_118","Dental","2-5","CO",2016-02-05 19:18:43
119,"Practice_119","Family Medicine","6-20","FL",2015-09-19 14:26:25
120,"Practice_120","Physical Therapy","Solo","CO",2023-07-28 19:51:47
121,"Practice_121","Family Medicine","Solo","CA",2024-02-16 14:33:01
122,"Practice_122","Family Medicine","6-20","FL",2023-06-18 21:57:59
123,"Practice_123","Pediatrics","Solo","WA",2015-06-30 17:22:08
124,"Practice_124","Dental","2-5","CA",2021-11-21 12:22:47
125,"Practice_125","Dental","6-20","NC",2017-12-18 17:24:39
126,"Practice_126","Physical Therapy","2-5","WA",2023-06-05 15:51:05
127,"Practice_127","Family Medicine","2-5","GA",2015-01-11 07:05:15
128,"Practice_128","Family Medicine","Solo","AZ",2019-04-20 20:59:47
129,"Practice_129","Dental","Solo","FL",2017-09-15 05:39:28
130,"Practice_130","Physical Therapy","6-20","AZ",2022-03-29 09:48:45
131,"Practice_131","Physical Therapy","2-5","FL",2020-08-11 02:07:28
132,"Practice_132","Dental","2-5","WA",2020-08-15 10:31:32
133,"Practice_133","Dental","Solo","GA",2023-01-23 17:46:39
134,"Practice_134","Pediatrics","Solo","TX",2017-03-20 03:02:47
135,"Practice_135","Family Medicine","20+","TX",2022-01-14 06:10:24
136,"Practice_136","Pediatrics","Solo","CA",2021-02-21 15:37:21
137,"Practice_137","Physical Therapy","2-5","CO",2024-02-01 02:13:58
138,"Practice_138","Orthopedics","Solo","CO",2015-03-08 20:31:35
139,"Practice_139","Pediatrics","2-5","TX",2024-06-22 05:06:51
140,"Practice_140","Dermatology","6-20","WA",2018-06-09 17:57:30
141,"Practice_141","Dermatology","2-5","GA",2023-07-14 22:24:11
142,"Practice_142","Pediatrics","Solo","CA",2023-09-10 19:40:48
143,"Practice_143","Physical Therapy","2-5","WA",2023-02-27 21:47:52
144,"Practice_144","Pediatrics","6-20","CO",2017-09-22 20:00:27
145,"Practice_145","Pediatrics","2-5","CA",2019-03-23 17:14:41
146,"Practice_146","Dental","6-20","AZ",2020-07-01 20:06:27
147,"Practice_147","Orthopedics","2-5","NY",2019-04-06 18:54:03
148,"Practice_148","Physical Therapy","6-20","NC",2022-04-12 10:34:23
149,"Practice_149","Dental","2-5","CA",2019-06-28 16:12:50
150,"Practice_150","Pediatrics","Solo","CO",2021-05-10 18:46:29
151,"Practice_151","Family Medicine","Solo","WA",2017-02-19 04:47:18
152,"Practice_152","Dental","Solo","AZ",2023-07-18 07:36:36
153,"Practice_153","Dental","6-20","NC",2020-05-11 15:02:09
154,"Practice_154","Physical Therapy","6-20","NC",2017-03-28 14:13:29
155,"Practice_155","Dermatology","2-5","CA",2024-02-12 18:17:14
156,"Practice_156","Dental","Solo","NC",2023-04-18 22:41:22
157,"Practice_157","Orthopedics","Solo","AZ",2022-03-05 06:09:24
158,"Practice_158","Family Medicine","6-20","GA",2021-05-26 13:18:12
159,"Practice_159","Dental","2-5","WA",2023-06-05 12:57:07
160,"Practice_160","Orthopedics","Solo","CA",2020-09-20 14:09:57
161,"Practice_161","Pediatrics","2-5","NC",2023-08-10 10:40:37
162,"Practice_162","Orthopedics","Solo","GA",2019-06-04 12:37:36
163,"Practice_163","Orthopedics","Solo","WA",2021-01-10 19:16:37
164,"Practice_164","Physical Therapy","2-5","FL",2024-09-20 10:41:13
165,"Practice_165","Dental","Solo","GA",2023-08-14 14:48:28
166,"Practice_166","Family Medicine","20+","FL",2021-11-10 23:00:53
167,"Practice_167","Pediatrics","Solo","FL",2019-04-17 14:16:33
168,"Practice_168","Dental","Solo","GA",2017-03-11 05:24:48
169,"Practice_169","Dental","Solo","NC",2020-02-07 23:30:50
170,"Practice_170","Physical Therapy","6-20","FL",2015-02-14 15:19:58
171,"Practice_171","Orthopedics","2-5","NC",2017-11-10 10:15:00
172,"Practice_172","Dental","2-5","NC",2017-02-08 18:13:02
173,"Practice_173","Physical Therapy","Solo","WA",2016-02-21 19:05:07
174,"Practice_174","Dental","Solo","IL",2021-08-20 09:47:02
175,"Practice_175","Orthopedics","2-5","AZ",2016-01-22 01:03:34
176,"Practice_176","Dental","6-20","NC",2023-12-03 15:20:57
177,"Practice_177","Orthopedics","6-20","WA",2019-05-05 10:06:28
